Game,TimeMs,Moves,Nodes,Visit,MaxDepth,BTrack,Uber,Fnd=>Tabl,Mega,Split,Abut,Neut,Order,InsertUnder,BurFndRdy,FCSeq,ColClr,MaxLkAhd,GenPurpose,Extender,Stat
274,2.3345,112,319,112,112,0,0,0,0,4,6,2,1,0,0,0,0,2,0,4,OK
275,4.216,116,418,116,116,0,0,0,0,5,13,5,3,0,7,1,0,2,0,17,OK
276,3.1299,113,401,117,113,4,0,0,0,3,11,5,0,1,21,0,0,2,0,24,OK
277,2.4912,124,375,126,124,2,0,2,0,1,3,1,1,0,2,1,0,4,0,6,OK
278,2.6106,150,403,150,150,0,0,2,0,0,8,4,1,0,0,1,0,4,0,10,OK
279,9.9148,161,942,635,161,474,0,3,0,1,18,3,2,1,8,11,0,2,0,8,OK
280,3.4524,111,500,111,111,0,0,0,0,7,2,0,4,0,8,3,0,5,0,20,OK
281,12.6609,119,1201,923,119,804,0,2,0,3,33,1,0,0,2,3,0,2,0,3,OK
282,2.4515,109,347,109,109,0,0,0,0,1,0,1,3,1,3,0,0,3,0,3,OK
283,3.0826,127,406,139,127,12,0,0,0,3,1,4,0,0,0,0,0,2,0,9,OK
284,2.7818,107,457,107,107,0,0,0,0,3,0,0,3,1,7,3,0,3,0,5,OK
285,5.3822,112,597,311,112,199,0,0,0,11,5,2,1,0,4,0,0,3,0,1,OK
286,2.6293,132,432,144,132,12,0,1,0,4,1,3,0,1,3,2,0,2,0,32,OK
287,2.5905,108,312,108,108,0,0,0,0,2,7,0,2,0,8,0,0,2,0,3,OK
288,7.2117,119,682,369,119,250,0,0,0,8,24,1,1,0,2,16,0,2,0,0,OK
289,6.2129,138,702,324,138,186,0,2,0,2,32,0,2,0,2,8,0,3,0,25,OK
290,4.5854,116,511,321,116,205,0,0,0,3,9,2,5,2,7,0,0,4,0,12,OK
291,3.045,123,496,176,123,53,0,0,0,8,4,3,3,0,14,4,0,2,0,48,OK
292,2.7581,105,450,105,105,0,0,0,0,2,3,1,5,2,15,2,0,6,0,13,OK
293,7.4081,117,593,336,117,219,0,8,0,4,0,2,2,0,4,0,0,4,0,16,OK
294,2.9134,111,435,113,111,2,0,1,0,2,3,2,0,0,13,0,0,2,0,15,OK
295,3.3993,159,552,170,159,11,0,1,0,10,26,2,0,0,11,0,0,2,0,28,OK
296,116.6295,180,6565,6032,228,5852,0,46,0,9,88,18,2,1,1,187,0,2,0,102,OK
297,5.1351,186,686,186,186,0,0,5,0,5,23,5,0,1,17,0,0,2,0,5,OK
298,5.2879,113,452,113,113,0,0,0,0,2,0,3,2,0,13,2,0,4,0,3,OK
299,1295.0252,287,49847,47587,776,46850,1,1118,0,663,5178,43,3,61,1,5154,0,4,0,72,OK
300,2.618,109,365,109,109,0,0,0,0,2,2,2,0,0,5,0,0,2,0,26,OK
301,3.9907,107,451,107,107,0,0,0,0,4,2,0,1,1,25,0,0,2,0,55,OK
302,56.1837,149,3030,2665,301,2516,0,181,0,5,8,13,3,10,3,66,0,4,0,33,OK
303,4.517,141,607,250,141,109,0,4,0,5,3,2,2,0,0,7,0,2,0,2,OK
304,2.1982,112,326,112,112,0,0,0,0,1,3,1,0,2,14,0,0,4,0,3,OK
305,4.4083,121,398,121,121,0,0,1,0,0,0,4,1,0,11,1,0,2,0,2,OK
306,3.1462,121,420,121,121,0,0,0,0,7,1,2,2,0,11,2,0,5,0,1,OK
307,2.8753,142,474,146,142,4,0,2,0,2,6,2,1,0,6,10,0,7,0,8,OK
308,2.5238,125,408,125,125,0,0,0,0,7,3,2,1,1,4,1,0,4,0,0,OK
309,10.6312,166,1018,705,166,539,0,0,0,3,1,2,1,0,2,7,0,3,0,25,OK
310,2.2795,100,268,100,100,0,0,0,0,1,0,4,0,0,8,0,0,2,0,27,OK
311,4.6267,113,447,113,113,0,0,0,0,4,0,1,2,0,11,0,0,5,0,9,OK
312,2.5995,117,408,117,117,0,0,0,0,6,1,1,2,5,5,4,0,8,0,9,OK
313,3.6537,117,483,117,117,0,0,0,0,3,10,1,3,4,8,2,0,4,0,0,OK
314,3.1121,109,418,109,109,0,0,0,0,9,2,1,2,0,10,0,0,2,0,7,OK
315,7.8658,136,788,523,136,387,0,0,0,6,2,1,2,2,3,5,0,4,0,12,OK
316,2.2126,106,361,106,106,0,0,0,0,1,1,0,2,0,5,0,0,3,0,6,OK
317,4.3677,156,578,218,156,62,0,0,0,5,11,2,1,0,9,11,0,4,0,11,OK
318,2.6412,113,362,116,113,3,0,2,0,7,2,1,1,0,12,1,0,3,0,24,OK
319,2.6615,96,396,96,96,0,0,0,0,0,0,1,1,0,12,2,0,2,0,119,OK
320,2.794,111,423,123,111,12,0,0,0,3,0,1,2,1,9,0,0,6,0,0,OK
321,2.4615,94,422,94,94,0,0,0,0,1,5,0,1,0,15,0,0,2,0,3,OK
322,5.5462,121,601,373,121,252,0,0,0,3,4,1,2,1,0,0,0,6,0,8,OK
323,14.0443,197,1313,712,197,515,0,0,0,7,14,1,0,1,8,38,0,4,0,0,OK
324,1.9355,111,382,111,111,0,0,0,0,7,2,2,2,1,7,12,0,3,0,8,OK
325,2.7962,121,425,121,121,0,0,0,0,9,4,3,4,0,1,1,0,2,0,35,OK
326,3.4494,138,448,138,138,0,0,0,0,4,12,10,3,2,2,5,0,8,0,60,OK
327,2.7146,113,382,113,113,0,0,0,0,2,2,0,1,0,20,1,0,2,0,0,OK
328,11.251,129,936,701,129,572,0,0,0,3,10,6,2,1,6,0,0,6,0,17,OK
329,2.3101,112,411,114,112,2,0,0,0,10,7,2,2,0,11,0,0,3,0,7,OK
330,2.572,131,393,135,131,4,0,3,0,7,9,3,0,1,3,1,0,6,0,3,OK
331,2.0825,105,352,105,105,0,0,0,0,2,1,2,1,0,4,0,0,4,0,10,OK
332,137.347,196,7304,6684,273,6488,0,130,0,19,31,7,0,0,13,413,0,2,0,16,OK
333,18.7082,142,1256,848,142,706,0,20,0,4,94,4,0,0,1,0,0,2,0,10,OK
334,3.8797,121,461,123,121,2,0,2,0,1,9,4,2,0,8,1,0,2,0,4,OK
335,2.0867,106,354,121,106,15,0,0,0,5,5,0,0,0,4,1,0,2,0,3,OK
336,3.2802,142,460,170,142,28,0,0,0,4,9,2,3,0,9,3,0,3,0,6,OK
337,10.9242,109,1070,709,109,600,0,0,0,1,18,5,0,0,7,14,0,2,0,34,OK
338,3.4901,125,474,200,125,75,0,1,0,3,7,5,1,0,6,4,0,2,0,8,OK
339,3.9962,127,554,267,127,140,0,0,0,8,14,3,3,0,16,3,0,3,0,13,OK
340,2.7935,105,367,105,105,0,0,0,0,6,9,2,1,0,8,1,0,2,0,28,OK
341,2.6697,121,421,121,121,0,0,0,0,4,0,0,5,2,8,5,0,6,0,60,OK
342,13.679,251,1330,660,251,409,0,15,0,12,9,0,1,1,4,15,0,2,0,5,OK
343,7.8023,139,754,482,139,343,0,2,0,4,6,6,0,0,7,5,0,2,0,56,OK
344,82.0272,139,4657,4339,139,4200,0,20,0,7,145,14,1,4,13,150,0,6,0,32,OK
345,3.0544,93,364,93,93,0,0,0,0,4,1,1,4,0,6,3,0,2,0,48,OK
346,2.434,83,380,83,83,0,0,0,0,0,0,1,3,0,17,7,0,3,0,25,OK
347,3.0073,171,492,205,171,34,0,12,0,2,5,1,1,0,0,6,0,2,0,4,OK
348,2.9845,113,414,113,113,0,0,0,0,1,9,1,0,1,16,2,0,4,0,5,OK
349,2.4602,113,332,113,113,0,0,0,0,1,16,1,1,1,2,0,0,4,0,1,OK
350,4.3182,119,452,157,119,38,0,1,0,2,8,0,0,1,11,3,0,6,0,14,OK
351,113.254,117,5679,5439,162,5322,0,91,0,5,311,8,1,1,11,0,0,3,0,0,OK
352,18.8554,159,1531,1079,159,920,0,3,0,6,6,4,2,10,3,14,0,6,0,31,OK
353,13.5491,130,1084,836,130,706,0,8,0,5,3,6,0,3,7,22,0,6,0,10,OK
354,9.8249,180,977,507,180,327,0,9,0,6,28,5,1,1,4,2,0,2,0,11,OK
355,3.2907,112,391,116,112,4,0,2,0,0,1,1,0,0,5,0,0,2,0,9,OK
356,2.794,111,429,124,111,13,0,0,0,3,4,0,0,0,4,6,0,2,0,4,OK
357,6.2897,131,723,387,131,256,0,0,0,4,4,5,5,0,6,5,0,6,0,0,OK
358,6.2187,169,656,174,169,5,0,3,0,3,0,2,1,1,11,4,0,4,0,16,OK
359,40.1359,224,2176,1506,224,1282,0,78,0,3,14,6,4,1,6,52,0,2,0,10,OK
360,10.9721,116,660,340,116,224,0,1,0,1,2,5,2,0,14,2,0,2,0,2,OK
361,3.3059,108,354,108,108,0,0,0,0,2,3,1,2,0,0,0,0,2,0,7,OK
362,9.1981,126,704,431,126,305,0,0,0,3,10,2,0,1,2,0,0,4,0,22,OK
363,6.1137,130,541,189,130,59,0,2,0,1,2,0,4,0,0,6,0,4,0,24,OK
364,6.4643,123,626,237,123,114,0,0,0,1,13,2,2,7,5,6,0,6,0,9,OK
365,3.3261,116,361,116,116,0,0,0,0,4,4,0,6,0,15,3,0,6,0,0,OK
366,6.4617,105,449,183,105,78,0,0,0,3,5,1,0,0,4,0,0,2,0,32,OK
367,4.5666,100,452,100,100,0,0,0,0,3,0,0,2,1,16,1,0,3,0,5,OK
368,22.8857,135,1155,869,135,734,0,0,0,2,29,3,1,0,18,58,0,6,0,4,OK
369,19.2524,120,1025,748,120,628,0,0,0,1,5,1,1,0,1,20,0,2,0,14,OK
370,25.7393,270,1193,718,270,448,0,8,0,4,10,3,2,3,3,143,0,4,0,3,OK
371,5.8042,134,449,134,134,0,0,0,0,2,2,4,3,3,2,2,0,6,0,22,OK
372,5.6842,117,590,285,117,168,0,0,0,3,17,1,3,0,5,4,0,9,0,13,OK
373,161.0824,135,7236,6950,153,6815,0,89,0,4,33,3,1,0,1,335,0,2,0,43,OK
374,2.8817,107,325,107,107,0,0,0,0,8,0,0,2,0,20,0,0,2,0,27,OK
375,13.9659,139,1117,841,139,702,0,33,0,4,30,3,0,0,7,0,0,2,0,2,OK
376,3.5302,120,407,120,120,0,0,0,0,5,0,2,4,0,6,3,0,5,0,40,OK
377,5.4164,127,450,149,127,22,0,0,0,2,6,0,2,5,5,7,0,6,0,47,OK
378,3.7675,93,407,93,93,0,0,0,0,3,3,0,2,0,23,0,0,2,0,3,OK
379,3.1121,111,341,111,111,0,0,1,0,2,1,2,1,0,2,0,0,2,0,10,OK
380,2.3129,104,365,104,104,0,0,0,0,3,4,2,1,0,8,2,0,2,0,21,OK
381,25.0755,122,1352,1036,122,914,0,0,0,2,19,1,1,0,0,61,0,2,0,23,OK
382,2.9101,124,392,124,124,0,0,0,0,5,4,2,2,3,4,1,0,4,0,16,OK
383,2.8514,133,406,133,133,0,0,3,0,2,9,1,3,0,1,0,0,2,0,4,OK
384,4.9978,135,598,167,135,32,0,0,0,7,23,3,1,2,5,0,0,4,0,6,OK
385,46.3459,128,2416,2157,128,2029,0,23,0,7,8,20,1,0,2,2,0,2,0,6,OK
386,4.6036,128,359,136,128,8,0,1,0,8,6,2,2,0,8,1,0,5,0,2,OK
387,5.4897,118,495,118,118,0,0,0,0,5,1,1,4,0,10,3,0,2,0,31,OK
388,7.4141,119,507,199,119,80,0,0,0,2,1,3,1,0,10,10,0,2,0,10,OK
389,5.7245,117,371,117,117,0,0,0,0,5,3,1,0,0,4,3,0,2,0,2,OK
390,5.3854,148,546,148,148,0,0,0,0,12,5,3,0,0,1,3,0,2,0,6,OK
391,9.6051,163,716,361,163,198,0,7,0,9,6,7,2,2,8,18,0,4,0,7,OK
392,2.6932,110,327,110,110,0,0,0,0,6,1,2,0,1,8,0,0,2,0,8,OK
393,13.8011,130,884,619,130,489,0,0,0,4,3,4,3,2,8,2,0,4,0,3,OK
394,5.7659,116,378,116,116,0,0,0,0,3,4,3,1,0,5,0,0,2,0,9,OK
395,7.6382,122,429,142,122,20,0,0,0,5,4,5,2,2,7,2,0,7,0,2,OK
396,95.2053,111,1430,1215,111,1104,0,9,0,0,18,1,1,0,11,1,0,3,0,93,OK
397,5.2649,107,427,107,107,0,0,0,0,4,2,1,1,3,7,0,0,4,0,21,OK
398,7.9607,132,466,132,132,0,0,1,0,6,12,1,2,1,5,5,0,4,0,6,OK
399,6.8189,115,469,115,115,0,0,0,0,4,6,3,1,2,25,0,0,4,0,5,OK
400,16.6789,121,1025,829,121,708,0,54,0,4,26,1,1,0,4,1,0,3,0,70,OK
401,3.3971,109,339,109,109,0,0,0,0,5,4,6,2,0,4,1,0,4,0,32,OK
402,6.4971,128,421,143,128,15,0,0,0,9,7,1,2,0,1,0,0,2,0,10,OK
403,22.3271,138,1116,844,138,706,0,10,0,7,27,3,0,0,2,34,0,2,0,14,OK
404,7.0723,128,730,421,128,293,0,1,0,5,28,5,1,0,4,12,0,3,0,30,OK
405,5.7727,93,380,93,93,0,0,0,0,3,1,1,1,0,19,0,0,2,0,14,OK
406,3.5812,123,398,123,123,0,0,0,0,4,5,2,0,1,2,0,0,4,0,15,OK
407,2.8885,137,474,137,137,0,0,0,0,2,5,1,0,5,19,0,0,6,0,2,OK
408,2.9323,113,343,127,113,14,0,3,0,5,5,2,0,0,7,0,0,2,0,16,OK
409,3.7068,111,356,111,111,0,0,0,0,2,12,2,0,0,24,2,0,2,0,26,OK
410,2.9812,113,354,121,113,8,0,0,0,4,14,4,0,0,2,2,0,2,0,9,OK
411,3.8937,117,428,125,117,8,0,0,0,2,6,2,2,0,8,1,0,2,0,52,OK
412,4.0412,120,515,157,120,37,0,2,0,6,11,1,4,0,1,2,0,3,0,26,OK
413,3.0754,114,348,121,114,7,0,0,0,2,7,0,2,0,6,0,0,6,0,0,OK
414,6.183,149,577,167,149,18,0,5,0,2,5,2,2,0,12,0,0,2,0,14,OK
415,18.2955,267,1490,745,267,478,0,5,2,5,17,3,2,0,6,54,0,2,0,2,OK
416,3.9542,144,530,213,144,69,0,0,0,4,8,3,1,2,6,1,0,2,0,31,OK
417,11.9354,107,865,568,107,461,0,0,0,1,17,0,2,0,6,1,0,3,0,26,OK
418,452.1716,132,24197,14534,1102,11230,0,137,0,311,3651,44,4,191,6,1664,3,6,0,21,OK
419,16.4294,120,1104,858,120,738,0,0,0,2,5,3,1,1,2,25,0,2,0,11,OK
420,34.1363,127,1900,1651,180,1524,0,6,2,4,30,10,2,1,4,90,0,2,0,11,OK
421,13.9197,106,1069,770,106,664,0,0,0,6,7,3,2,0,8,8,0,2,0,30,OK
422,179.2505,124,11014,10770,124,10646,0,56,0,16,378,44,1,0,10,128,0,2,0,227,OK
423,3.0339,126,414,128,126,2,0,2,0,2,7,5,0,0,7,0,0,2,0,17,OK
424,3.7136,115,485,180,115,65,0,0,0,10,5,2,1,0,10,0,0,3,0,52,OK
425,5.3165,126,514,126,126,0,0,0,0,13,18,2,2,0,6,0,0,3,0,1,OK
426,4.1206,116,396,116,116,0,0,1,0,2,15,2,3,0,5,0,0,4,0,12,OK
427,4.2104,121,561,128,121,7,0,1,0,2,7,0,0,1,15,0,0,4,0,2,OK
428,3.4859,125,466,173,125,48,0,3,0,2,6,2,2,2,2,9,0,2,0,25,OK
429,9.7849,124,652,457,124,333,0,1,1,9,10,1,2,2,1,20,0,6,0,7,OK
430,15.8566,112,1132,872,112,760,0,4,0,0,12,14,2,1,3,19,0,2,0,48,OK
431,2.1619,117,351,117,117,0,0,0,0,7,5,1,0,0,1,0,0,2,0,3,OK
432,3.573,131,480,185,131,54,0,5,0,1,9,2,1,0,12,2,0,4,0,3,OK
433,61.7989,156,3620,3356,156,3200,0,39,1,6,35,12,1,0,4,188,0,2,0,66,OK
434,3.1189,107,369,107,107,0,0,0,0,4,1,1,3,0,1,6,0,7,0,13,OK
435,6.2463,169,691,351,169,182,0,0,0,8,3,2,0,5,2,12,0,6,0,8,OK
436,18.1157,143,1196,945,143,802,0,1,0,2,10,11,0,1,1,17,0,4,0,4,OK
437,4.5703,145,447,151,145,6,0,4,0,5,9,1,1,2,4,1,0,8,0,6,OK
438,105.5917,195,5044,4458,540,4263,0,22,0,2,563,1,2,1,9,216,0,4,0,4,OK
439,3.5972,132,439,164,132,32,0,2,0,4,1,4,1,1,9,1,0,10,0,1,OK
440,3.5084,136,410,136,136,0,0,0,0,3,9,2,4,6,7,2,0,6,0,4,OK
441,2.6952,109,340,109,109,0,0,0,0,2,11,1,3,0,18,0,0,2,0,15,OK
442,3.3354,116,399,116,116,0,0,0,0,4,12,2,1,1,1,1,0,2,0,0,OK
443,3.9923,117,510,117,117,0,0,0,0,8,5,0,1,0,6,0,0,2,0,5,OK
444,1.8748,100,353,100,100,0,0,0,0,6,11,1,2,0,14,7,0,2,0,0,OK
445,5.9387,107,517,289,107,182,0,0,0,2,7,3,2,0,4,8,0,3,0,13,OK
446,3.6801,110,324,110,110,0,0,0,0,2,1,3,1,0,12,1,0,2,0,8,OK
447,3.8637,121,506,229,121,108,0,0,0,3,5,1,3,1,14,11,0,6,0,4,OK
448,1.9292,117,300,117,117,0,0,1,0,4,12,1,1,1,5,0,0,4,0,5,OK
449,2.8445,100,335,136,100,36,0,0,0,4,2,2,2,1,2,1,0,8,0,6,OK
450,5.623,94,431,94,94,0,0,0,0,2,0,0,0,0,12,3,0,2,0,112,OK
451,24.3241,142,1977,1652,142,1510,0,0,0,3,65,33,2,0,1,2,0,3,0,36,OK
452,6.2102,118,581,231,118,113,0,0,0,3,0,1,2,3,22,5,0,8,0,1,OK
453,2.7599,113,336,113,113,0,0,0,0,3,2,2,1,0,11,0,0,2,0,18,OK
454,653.7978,148,31302,30893,320,30720,1,35,0,98,1556,36,3,6,9,2093,0,5,0,864,OK
455,3.3753,103,454,108,103,5,0,3,0,3,4,0,1,0,8,0,0,2,0,42,OK
456,17.3544,292,1591,872,292,580,0,9,0,4,27,3,1,2,3,31,0,6,0,54,OK
457,3.7922,102,417,102,102,0,0,0,0,9,4,0,3,0,6,4,0,2,0,35,OK
458,2.859,107,347,107,107,0,0,0,0,2,7,2,2,0,5,0,0,3,0,22,OK
459,3.1358,109,372,109,109,0,0,0,0,4,9,0,3,0,16,0,0,3,0,71,OK
460,5.0586,168,651,191,168,23,0,7,0,3,16,1,1,0,2,0,0,3,0,7,OK
461,4.7012,114,537,248,114,134,0,0,0,5,13,0,0,1,9,0,0,2,0,10,OK
462,4.6505,93,490,93,93,0,0,0,0,1,0,0,1,0,17,6,0,2,0,89,OK
463,10.6218,141,1076,806,141,665,0,3,0,2,12,0,1,1,1,0,0,2,0,6,OK
464,2.1178,95,331,97,95,2,0,0,0,1,2,0,0,0,2,1,0,2,0,12,OK
465,15.4368,132,1081,756,132,624,0,1,0,3,4,4,1,0,3,50,0,3,0,0,OK
466,4.9867,129,557,141,129,12,0,1,0,1,14,4,1,1,5,9,0,4,0,29,OK
467,5.0359,138,545,174,138,36,0,0,0,3,1,0,1,12,7,8,0,6,0,21,OK
468,1.8934,109,351,109,109,0,0,0,0,3,6,2,3,0,25,0,0,7,0,6,OK
469,3.405,113,473,207,113,94,0,0,0,5,4,1,2,0,5,4,0,3,0,1,OK
470,2.7766,123,381,127,123,4,0,1,0,6,1,3,0,1,6,0,0,4,0,43,OK
471,2.4276,127,373,127,127,0,0,0,0,5,1,0,1,6,1,1,0,8,0,4,OK
472,81.8077,150,4297,3922,150,3772,0,6,0,5,117,4,0,14,1,466,0,6,0,18,OK
473,4.7246,117,500,255,117,138,0,8,0,4,4,0,2,1,4,2,0,3,0,1,OK
474,26.396,139,2113,1776,139,1637,0,11,0,1,44,2,0,0,3,10,0,2,0,16,OK
475,5.9327,120,569,251,120,131,0,3,0,1,4,5,0,1,8,4,0,8,0,69,OK
476,106.8945,200,6484,5846,250,5646,0,147,0,3,53,9,0,1,13,276,0,4,0,10,OK
477,3.3312,128,474,142,128,14,0,3,0,2,5,2,2,2,4,12,0,6,0,84,OK
478,2.1874,110,361,116,110,6,0,0,0,4,9,3,2,0,4,9,0,4,0,16,OK
479,483.0376,271,24647,23853,471,23582,0,225,0,16,878,25,0,9,8,1641,0,4,0,2471,OK
480,1.9811,106,338,106,106,0,0,0,0,1,3,0,3,3,2,3,0,6,0,0,OK
481,3.6994,105,438,202,105,97,0,2,0,2,7,0,1,1,9,0,0,2,0,13,OK
482,9.5964,140,812,399,140,259,0,26,0,5,12,0,3,0,19,9,0,2,0,3,OK
483,4.5384,146,495,243,146,97,0,6,0,5,0,0,1,0,6,5,0,5,0,14,OK
484,3.5687,109,345,109,109,0,0,0,0,6,0,2,4,0,6,0,0,4,0,93,OK
485,2.3034,117,407,117,117,0,0,0,0,4,0,1,1,1,5,1,0,4,0,26,OK
486,3.0675,121,443,178,121,57,0,0,0,4,1,1,4,0,0,0,0,3,0,1,OK
487,289.4047,194,13786,13356,356,13162,0,177,0,36,1250,2,1,4,7,944,0,4,0,25,OK
488,127.8409,143,7628,7375,483,7232,0,0,0,62,417,6,3,0,7,369,0,3,0,13,OK
489,2.085,102,340,102,102,0,0,0,0,4,5,1,1,1,4,5,0,3,0,2,OK
490,6.0343,118,570,328,118,210,0,0,0,2,1,5,0,3,10,0,0,4,0,3,OK
491,2.8275,121,409,121,121,0,0,2,0,1,6,2,5,1,10,2,0,4,0,19,OK
492,15.6668,146,1437,1040,146,894,0,23,0,11,5,4,2,4,5,31,0,10,0,20,OK
493,2.6364,105,397,105,105,0,0,0,0,3,5,1,1,0,11,0,0,2,0,3,OK
494,1.5606,124,295,124,124,0,0,0,0,7,5,3,5,1,1,7,0,5,0,4,OK
495,22.5851,135,1878,1573,135,1438,0,0,0,1,84,4,0,1,4,74,0,2,0,15,OK
496,5.3582,131,500,135,131,4,0,4,0,9,10,1,3,0,5,0,0,3,0,1,OK
497,48.5491,118,2745,2506,126,2388,0,0,0,6,104,9,1,2,1,169,0,3,0,179,OK
498,2.5324,123,384,123,123,0,0,0,0,3,6,3,2,0,8,1,0,3,0,4,OK
499,3.144,113,376,113,113,0,0,0,0,4,8,1,2,0,19,0,0,2,0,1,OK
500,3.9498,123,539,275,123,152,0,0,0,8,2,0,3,0,13,3,0,4,0,7,OK
501,16.2442,116,1256,984,116,868,0,0,0,9,8,2,2,0,5,81,0,3,0,16,OK
502,3.0739,99,331,120,99,21,0,0,0,1,4,0,1,0,5,0,0,2,0,44,OK
503,2.8671,113,385,163,113,50,0,2,0,4,1,1,1,0,8,0,0,2,0,5,OK
504,3.2253,113,423,113,113,0,0,0,0,1,1,3,4,1,7,13,0,6,0,4,OK
505,4.0221,112,519,200,112,88,0,3,0,3,0,0,2,1,9,5,0,8,0,19,OK
506,13.6335,106,1177,849,106,743,0,13,0,9,4,0,1,0,8,0,0,2,0,83,OK
507,3.5861,105,475,105,105,0,0,0,0,3,9,3,3,0,11,0,0,2,0,21,OK
508,2.5775,114,340,151,114,37,0,0,0,5,12,4,1,0,2,3,0,2,0,1,OK
509,2.0605,113,355,115,113,2,0,0,0,2,4,3,1,2,3,0,0,4,0,4,OK
510,3.4608,111,426,111,111,0,0,0,0,4,6,1,2,0,19,0,0,2,0,110,OK
511,2.493,119,345,119,119,0,0,0,0,4,15,3,3,0,3,1,0,7,0,26,OK
512,3.1602,127,383,127,127,0,0,0,0,5,13,1,1,2,5,0,0,4,0,5,OK
513,3.7193,140,480,140,140,0,0,0,0,3,3,4,2,5,11,8,0,7,0,49,OK
514,2.131,112,347,115,112,3,0,0,0,2,0,0,1,0,1,3,0,4,0,3,OK
515,21.1708,133,1644,1362,133,1229,0,37,0,11,14,1,1,1,4,43,0,4,0,29,OK
516,1.9285,96,345,96,96,0,0,0,0,1,4,0,1,0,6,1,0,2,0,9,OK
517,19.8636,117,1650,1333,117,1216,0,0,0,2,6,3,2,0,12,18,0,4,0,34,OK
518,4.9486,130,558,261,130,131,0,6,0,1,4,2,1,1,4,1,0,2,0,8,OK
519,78.5604,509,5087,3240,664,2731,0,17,0,8,635,12,1,2,2,152,0,8,0,29,OK
520,4.12,128,529,154,128,26,0,0,0,11,18,2,3,3,3,0,0,6,0,8,OK
521,2.211,113,373,113,113,0,0,0,0,6,2,0,7,2,16,0,0,4,0,11,OK
522,2.9445,127,465,129,127,2,0,2,0,0,19,3,2,0,0,1,0,2,0,23,OK
523,1.8731,142,332,142,142,0,0,1,0,4,5,2,3,0,4,2,0,7,0,1,OK
524,2.8712,115,432,122,115,7,0,0,0,3,13,0,2,0,6,0,0,4,0,60,OK
525,4.9327,121,546,246,121,125,0,4,0,2,10,1,3,0,6,0,0,2,0,40,OK
526,3.6026,109,451,150,109,41,0,0,0,3,1,2,0,1,22,0,0,2,0,27,OK
527,85.1404,117,4647,4356,243,4239,0,29,0,3,373,2,1,1,7,289,0,2,0,0,OK
528,164.5043,142,8151,7901,381,7759,0,196,0,1,129,7,0,0,3,1186,0,2,0,9,OK
529,2.7164,114,440,115,114,1,0,0,0,5,0,1,2,0,18,0,0,2,0,43,OK
530,43.9108,138,2942,2748,138,2610,0,0,0,9,226,2,1,1,2,130,0,2,0,172,OK
531,3.6496,142,534,189,142,47,0,7,0,2,8,1,0,0,6,0,0,2,0,0,OK
532,3.301,127,485,202,127,75,0,1,0,1,9,1,2,1,1,3,0,6,0,10,OK
533,2.8763,117,399,117,117,0,0,0,0,1,6,3,2,0,4,1,0,3,0,7,OK
534,2.666,105,389,116,105,11,0,0,0,5,0,1,2,0,9,1,0,4,0,0,OK
535,6.9044,157,714,201,157,44,0,0,0,2,15,2,1,0,12,2,0,2,0,8,OK
536,2.7473,112,387,112,112,0,0,0,0,3,1,4,5,0,13,1,0,5,0,11,OK
537,6.0763,114,564,248,114,134,0,0,0,1,0,3,0,1,11,7,0,4,0,41,OK
538,4.0846,133,567,203,133,70,0,3,0,6,5,0,1,0,1,14,0,3,0,12,OK
539,2.6006,113,352,113,113,0,0,0,0,2,15,1,1,1,12,1,0,2,0,17,OK
540,2.9824,114,402,114,114,0,0,0,0,3,8,2,3,0,13,0,0,2,0,42,OK
541,2.6568,123,354,123,123,0,0,0,0,5,10,3,0,1,5,1,0,2,0,5,OK
542,19.0259,147,1387,1093,147,946,0,42,0,4,0,4,0,1,4,1,0,4,0,3,OK
543,6.6753,148,765,317,148,169,0,7,0,1,43,6,0,1,1,0,0,2,0,4,OK
544,3.3652,111,396,111,111,0,0,0,0,1,7,1,1,2,13,7,0,4,0,16,OK
545,2.4333,100,358,100,100,0,0,0,0,1,0,2,1,0,18,1,0,2,0,3,OK
546,3.3254,116,496,116,116,0,0,0,0,4,7,1,4,0,2,1,0,2,0,77,OK
547,3.0961,120,392,120,120,0,0,0,0,9,2,5,4,1,16,3,0,2,0,36,OK
548,6.889,116,719,466,116,350,0,0,0,8,8,3,0,0,5,0,0,2,0,17,OK
549,4.5009,127,626,317,127,190,0,1,0,8,11,2,1,1,10,1,0,3,0,7,OK
550,2.3771,118,338,118,118,0,0,0,0,5,7,2,1,0,6,2,0,2,0,3,OK
551,49.1711,106,4811,1259,1025,129,0,0,0,5,80,13,2,56,15,449,1,4,0,7,OK
552,2.4299,119,407,119,119,0,0,0,0,3,6,4,2,0,11,5,0,2,0,16,OK
553,9.2086,128,819,475,128,347,0,4,0,5,3,2,2,0,17,5,0,3,0,0,OK
554,19.6895,331,1898,1033,331,702,0,7,0,3,30,5,1,5,4,4,0,4,0,4,OK
555,2.8586,97,406,97,97,0,0,0,0,1,0,0,2,0,14,2,0,2,0,12,OK
556,3.2303,103,442,103,103,0,0,0,0,3,5,2,2,0,15,1,0,3,0,14,OK
557,11.2551,133,1031,777,133,644,0,16,0,1,105,3,1,0,3,1,0,4,0,14,OK
558,2.9743,114,485,114,114,0,0,0,0,6,17,0,1,0,10,0,0,4,0,17,OK
559,1.905,113,356,120,113,7,0,0,0,5,3,2,1,1,3,0,0,6,0,1,OK
